congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,President,99912,99,0.0,USA,200,0,0,"TRUMP, Donald John",,1946,,0.403,0.162,,,,,,,
116,House,20301,41,3.0,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.36,0.463,-167.28878,0.80312,763,69,,0.52,0.388
116,House,21102,41,7.0,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.393,0.402,-28.45278,0.96458,789,11,,-0.43,0.384
116,House,21192,41,2.0,AL,200,,,"ROBY, Martha",R000591,1976,,0.362,0.658,-90.42097,0.88244,723,31,,0.346,0.672
116,House,21193,41,5.0,AL,200,,,"BROOKS, Mo",B001274,1954,,0.646,-0.404,-142.91074,0.83734,805,60,,0.772,-0.337
116,House,21376,41,1.0,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-107.81607,0.85611,694,42,,0.702,0.194
116,House,21500,41,6.0,AL,200,,,"PALMER, Gary James",P000609,1954,,0.682,0.091,-97.02251,0.88415,788,39,,0.669,0.085
116,House,29701,41,4.0,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.38,0.576,-117.63187,0.85608,757,42,,0.449,0.499
116,House,14066,81,1.0,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.283,0.022,-225.61247,0.74545,768,84,,0.336,0.085
116,House,21995,93,0.0,AS,200,,,"RADEWAGEN, Aumua Amata Coleman",R000600,1947,,0.413,0.014,,,,,,,
116,House,20305,61,3.0,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.256,-23.1507,0.97038,770,9,,-0.594,-0.543
116,House,20902,61,2.0,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.169,-0.011,-46.04283,0.93755,714,18,,-0.369,0.401
116,House,21103,61,4.0,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.697,-0.482,-108.20808,0.86631,754,35,,0.919,-0.395
116,House,21105,61,6.0,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.577,-0.292,-199.41631,0.78153,809,91,,0.521,-0.312
116,House,21502,61,7.0,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.45,0.026,-21.06367,0.97395,798,11,,-0.431,0.046
116,House,21705,61,5.0,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.849,-0.528,-94.38058,0.88793,794,32,,1.0,-0.03
